architecture,dataset,seed,path,sha256,file_size_mb
CNN_KAN,NFFA,789,extracted_dataset/downloaded_models/NFFA/CNN_KAN/CNN_KAN_seed789.pth,30332c8966cf61b19c4a987ff2690ca3301cf01ac3020ececf206d5d27d853a0,0.2736635208129883
CNN_KAN,NFFA,1024,extracted_dataset/downloaded_models/NFFA/CNN_KAN/CNN_KAN_seed1024.pth,8a761273d7911fd78777f877de692046f726acbbae4da91cbeca1d4adb6c1602,0.27368640899658203
CNN_KAN_Local,Biofilms,42,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_Local/CNN_KAN_Local_seed42.pth,25ed0f19203f88452fca58979bd57d53dc95db6fab35d37e5930b80ecf95a6f4,0.28482532501220703
CNN_KAN_Local,Biofilms,123,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_Local/CNN_KAN_Local_seed123.pth,e70de3a634bbbbf0aa377e920f355c9d3d9b2a7a624e8e2c61ef7d8c2d69e646,0.2848482131958008
CNN_KAN_Local,Biofilms,456,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_Local/CNN_KAN_Local_seed456.pth,7e2c245ef05c45b66bc51c9b16664c6476c49aad36cc2a44e72fae31c9f503d7,0.2848482131958008
CNN_KAN_Local,Biofilms,789,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_Local/CNN_KAN_Local_seed789.pth,c237a65890747a0d382e8ad5ce5782a35073985b6a1f2d013e36ff42da757cdb,0.2848482131958008
CNN_KAN_Local,Biofilms,1024,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_Local/CNN_KAN_Local_seed1024.pth,b60f285d7a3685dae788fd03932e92897d3cda5ee1217d32058d3f8d7cc1e9a1,0.28493213653564453
CNN_KAN_Local,EPFL,42,extracted_dataset/downloaded_models/EPFL/CNN_KAN_Local/CNN_KAN_Local_seed42.pth,15eea635daee4338c02990d640b9eb7d6b63933dd45081398a6a35697853fdee,0.28482532501220703
CNN_KAN_Local,EPFL,123,extracted_dataset/downloaded_models/EPFL/CNN_KAN_Local/CNN_KAN_Local_seed123.pth,0d9c65df0dbd18529ad9b851fa1aefb38f749e44682204228f635484d8e1993e,0.2848482131958008
CNN_KAN_Local,EPFL,456,extracted_dataset/downloaded_models/EPFL/CNN_KAN_Local/CNN_KAN_Local_seed456.pth,97e0db3d101747ec24a83e0f4685d06fd7d4bd68709dae1f495cacc9e481d8e4,0.2848482131958008
CNN_KAN_Local,EPFL,789,extracted_dataset/downloaded_models/EPFL/CNN_KAN_Local/CNN_KAN_Local_seed789.pth,de541e1bfa310f8af6ae760cb1e2d3f1ca91a3956ce9588f6a395c52e6080e27,0.2848482131958008
CNN_KAN_Local,EPFL,1024,extracted_dataset/downloaded_models/EPFL/CNN_KAN_Local/CNN_KAN_Local_seed1024.pth,67eec16506276d2cf1428a405e809861c7ac942e967450d7a82a7d453f60552e,0.28493213653564453
CNN_KAN_Local,NFFA,42,extracted_dataset/downloaded_models/NFFA/CNN_KAN_Local/CNN_KAN_Local_seed42.pth,7f6611d241d4419dd55345da017b64e48b128231c41f9b8e97b18b17cb3a2bcf,0.28482532501220703
CNN_KAN_Local,NFFA,123,extracted_dataset/downloaded_models/NFFA/CNN_KAN_Local/CNN_KAN_Local_seed123.pth,f1fc5fbcaab5833d672511c0425aad0534d6feb0f25ccd86a047e4307cf92549,0.2848482131958008
CNN_KAN_Local,NFFA,456,extracted_dataset/downloaded_models/NFFA/CNN_KAN_Local/CNN_KAN_Local_seed456.pth,a13d88a613b22120bd251fd29393de9a6e229b7d577784fc38b24d78e5f2e1e8,0.2848482131958008
CNN_KAN_Local,NFFA,789,extracted_dataset/downloaded_models/NFFA/CNN_KAN_Local/CNN_KAN_Local_seed789.pth,be496c2f401cb704d5e98665262cf6c671d22ba30d094823be01b44fbf239f13,0.2848482131958008
CNN_KAN_Local,NFFA,1024,extracted_dataset/downloaded_models/NFFA/CNN_KAN_Local/CNN_KAN_Local_seed1024.pth,5db5c99db20959c662d64f0ab650a2fb8b689d1763676c5e4cbfa89b186e0973,0.28493213653564453
CNN_KAN_PSD,Biofilms,42,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_PSD/CNN_KAN_PSD_seed42.pth,6fbab476e2a089451b038e8a07c5a35488af0759d370f5935a0b22154a097337,0.28477954864501953
CNN_KAN_PSD,Biofilms,123,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_PSD/CNN_KAN_PSD_seed123.pth,671d90818f7fe3662d230dd72229f5bc1c7a6bf109297a9f74b8e0b2f7f96d5b,0.2848024368286133
CNN_KAN_PSD,Biofilms,456,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_PSD/CNN_KAN_PSD_seed456.pth,4f69fa1b0edeea19a9032c4be34d5d3d06583a90f99b982349fbd4c4929ffd09,0.2848024368286133
CNN_KAN_PSD,Biofilms,789,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_PSD/CNN_KAN_PSD_seed789.pth,d12c7004d930772ecfb2cb8960247b14adf36c467abc06ce937e258393449684,0.2848024368286133
CNN_KAN_PSD,Biofilms,1024,extracted_dataset/downloaded_models/Biofilms/CNN_KAN_PSD/CNN_KAN_PSD_seed1024.pth,311b1c547bd7e03968087d5b134c7d129a5cf0de36538a9822bf0d6d8f48f579,0.28482532501220703
CNN_KAN_PSD,EPFL,42,extracted_dataset/downloaded_models/EPFL/CNN_KAN_PSD/CNN_KAN_PSD_seed42.pth,b88a27a5740530759c62377b4727fba62f05403534d76f8b347cbd86ccb8f7aa,0.28477954864501953
CNN_KAN_PSD,EPFL,123,extracted_dataset/downloaded_models/EPFL/CNN_KAN_PSD/CNN_KAN_PSD_seed123.pth,d407a18196c1386818c6037ee93cfb068aeeeecfe87939642204c8df0442370f,0.2848024368286133
CNN_KAN_PSD,EPFL,456,extracted_dataset/downloaded_models/EPFL/CNN_KAN_PSD/CNN_KAN_PSD_seed456.pth,81149dfcca17c9f66ee1d75156e645b04e895804d25ec9c00a00a419166a5a7e,0.2848024368286133
CNN_KAN_PSD,EPFL,789,extracted_dataset/downloaded_models/EPFL/CNN_KAN_PSD/CNN_KAN_PSD_seed789.pth,33068538e59eb5d45f1077a05885aa9ce7b163b7f79a1e11c8ea0aa7268c88c3,0.2848024368286133
CNN_KAN_PSD,EPFL,1024,extracted_dataset/downloaded_models/EPFL/CNN_KAN_PSD/CNN_KAN_PSD_seed1024.pth,62a2d321b16c5570ad447d031c112ddab6c5ea805699b06c6ccd114711e25ab6,0.28482532501220703
CNN_KAN_PSD,NFFA,42,extracted_dataset/downloaded_models/NFFA/CNN_KAN_PSD/CNN_KAN_PSD_seed42.pth,05334fe8a0d27752818321d82acfa76bfe7e1b9f6e4c85bfad26320624e11234,0.28477954864501953
CNN_KAN_PSD,NFFA,123,extracted_dataset/downloaded_models/NFFA/CNN_KAN_PSD/CNN_KAN_PSD_seed123.pth,29cd13e213e2a99f52b48726df2e4e7d09411b40411f9137547df76cf8be121c,0.2848024368286133
