architecture,source_dataset,test_dataset,n_seeds,mae_mean,mae_sd,mae_ci95_lo,mae_ci95_hi,rmse_mean,rmse_sd,rmse_ci95_lo,rmse_ci95_hi,r2_mean,r2_sd,r2_ci95_lo,r2_ci95_hi
ARNIQA_SNR,Biofilms,EPFL,5,0.7725079990440691,0.38284640370241474,0.2971414027249965,1.2478745953631416,0.9375612052683812,0.4681662018044703,0.3562560873119722,1.51886632322479,-2.1150380011084953,3.277557946594976,-6.184663705422132,1.9545877032051417
ARNIQA_SNR,Biofilms,NFFA,5,1.63732987191393,0.709643768840656,0.7561907525948532,2.5184689912330067,2.1701121831747665,0.9203895686088162,1.0272975915109062,3.312926774838627,0.5498747018185937,0.4037486265865824,0.04855456786181922,1.0511948357753682
ARNIQA_SNR,EPFL,Biofilms,5,3.929975713661739,0.5538536063769807,3.2422756303481233,4.617675796975354,4.725803719401833,0.6221131190047391,3.9533482567233946,5.498259182080272,-0.5939981976456858,0.3813880867481778,-1.0675540543047124,-0.12044234098665935
ARNIQA_SNR,EPFL,NFFA,5,2.342837859213043,0.21933113391645587,2.070502286543771,2.615173431882315,3.050142414046566,0.2751161096611562,2.7085406453544296,3.3917441827387025,0.21758413515531191,0.1351283701706137,0.049800102778509464,0.38536816753211434
ARNIQA_SNR,NFFA,Biofilms,5,1.8786766086305888,0.17083780370743906,1.6665534582348602,2.0907997590263174,2.4382246120254574,0.33915458943517596,2.017108568498221,2.859340655552694,0.5750134260393027,0.12513299103393077,0.4196402960849165,0.730386555993689
ARNIQA_SNR,NFFA,EPFL,5,0.39750332254759024,0.09934402889711519,0.2741514184295279,0.5208552266656525,0.4412950623888702,0.08676798185521122,0.33355838312245695,0.5490317416552833,0.4068576430117288,0.2455141335900099,0.10201158228282403,0.7117037037406335
CNN_KAN,Biofilms,EPFL,5,1.383398997783661,0.7314083604014354,0.4752355686879549,2.291562426879367,1.4283534131277,0.7470139688002421,0.5008130619131295,2.3558937643422704,-6.346516501903534,7.444508924287783,-15.590095217498305,2.897062213691238
CNN_KAN,Biofilms,NFFA,5,0.4693786084651947,0.0851961481625612,0.36359361850610866,0.5751635984242807,0.7721226989887628,0.09907916065469537,0.6490996722315807,0.895145725745945,0.9495296716690064,0.012731647607641379,0.933721243196781,0.9653381001412318
CNN_KAN,EPFL,Biofilms,5,2.319902539253235,0.8759862979509009,1.2322218901678055,3.4075831883386645,2.8066956604875566,1.0175576883183828,1.5432309128071737,4.07016040816794,0.3871283054351807,0.4158592413237503,-0.1292291428368511,0.9034857537072125
CNN_KAN,EPFL,NFFA,5,1.4732367277145386,0.2936988248702277,1.1085614705584246,1.8379119848706527,1.9529126978025526,0.3953799835309089,1.4619836066418257,2.4438417889632795,0.6708771705627441,0.13546381033976046,0.5026766342043607,0.8390777069211275
CNN_KAN,NFFA,Biofilms,5,0.19104018807411194,0.042820942942023925,0.13787096485386324,0.24420941129436063,0.2760143368346541,0.06631199614610561,0.193677118571008,0.3583515550983002,0.9943891882896423,0.0026415024544735456,0.9911093297907556,0.997669046788529
CNN_KAN,NFFA,EPFL,5,0.40416200160980226,0.032408447760895714,0.36392159878743063,0.4444024044321739,0.4088494046840146,0.030873937662955278,0.37051434780513576,0.44718446156289343,0.5038923144340515,0.0748522100650517,0.4109510200102914,0.5968336088578116
CNN_KAN_Local,Biofilms,EPFL,5,1.076034390926361,0.46321931651825304,0.500871642333092,1.6511971395196299,1.1053970980657184,0.48708534472103426,0.5006007614729403,1.7101934346584966,-3.170770502090454,3.6329283988340646,-7.681646902974757,1.340105898793849
CNN_KAN_Local,Biofilms,NFFA,5,0.41340398192405703,0.06396310231738439,0.3339833005631371,0.492824663284977,0.6854178913425285,0.11354604537133661,0.5444318546665287,0.8264039280185284,0.9598835587501526,0.012951907243474317,0.943801641817856,0.9759654756824493
CNN_KAN_Local,EPFL,Biofilms,5,2.647688937187195,0.7406934796485108,1.7279965098033667,3.5673813645710233,3.204623923176881,0.8789379318188966,2.1132783365816827,4.295969509772079,0.23353794813156128,0.39416629614665544,-0.2558841510990638,0.7229600473621864
CNN_KAN_Local,EPFL,NFFA,5,1.601356816291809,0.23773052004354525,1.3061753882794807,1.8965382443041374,2.1429537208155773,0.3291261619901131,1.7342896146054738,2.551617827025681,0.6090469002723694,0.11535792164958494,0.4658111220524692,0.7522826784922696
CNN_KAN_Local,NFFA,Biofilms,5,0.17808455824851985,0.035784532765068953,0.13365219222159075,0.22251692427544895,0.27553420361609166,0.05417231503869823,0.20827039033318773,0.3427980168989956,0.9944902062416077,0.0022327665077232976,0.9917178604525725,0.9972625520306428
CNN_KAN_Local,NFFA,EPFL,5,0.38736346960067747,0.09579719456368617,0.268415541982027,0.5063113972193279,0.39155259378476587,0.09203855966402898,0.27727162780341197,0.5058335597661198,0.5270256876945496,0.19224279669618213,0.28832472812289467,0.7657266472662045
CNN_KAN_PSD,Biofilms,EPFL,5,0.9904925704002381,0.4260620266692108,0.461466690883347,1.519518449917129,1.030224093859843,0.4289120943537766,0.4976593879065827,1.5627887998131034,-2.570519721508026,2.7711162050303235,-6.011314948133219,0.8702755051171667
CNN_KAN_PSD,Biofilms,NFFA,5,0.4486334264278412,0.05208012879662119,0.38396740547926156,0.5132994473764209,0.7461060274097796,0.09196288156810346,0.631919028195589,0.8602930266239702,0.9529209733009338,0.011347904134984705,0.9388306892814557,0.9670112573204119
CNN_KAN_PSD,EPFL,Biofilms,5,4.404032182693482,1.138373088217199,2.990555302530148,5.817509062856815,5.520457268054511,1.6725587846755539,3.443701240243435,7.597213295865588,-1.3029405474662783,1.3682492302905271,-3.001846357288037,0.39596526235548035
