model,source_dataset,test_dataset,metric,mean,std,ci95_lo,ci95_hi,n_seeds
ARNIQA_SNR,EPFL,EPFL,mae,0.6844492346356172,0.06610411331036899,0.6023832954977711,0.7665151737734633,5
ARNIQA_SNR,EPFL,EPFL,rmse,0.7701389375988563,0.0896946791755162,0.6587861379985336,0.8814917371991791,5
ARNIQA_SNR,EPFL,EPFL,r2,-0.7713238509938677,0.4098869104967852,-1.2801840801946514,-0.262463621793084,5
ARNIQA_SNR,EPFL,NFFA,mae,2.342837859213043,0.21933113391645595,2.070545945962325,2.6151297724637614,5
ARNIQA_SNR,EPFL,NFFA,rmse,3.050142414046566,0.2751161096611562,2.708595409168249,3.391689418924883,5
ARNIQA_SNR,EPFL,NFFA,r2,0.21758413515531191,0.1351283701706137,0.04982700103944676,0.38534126927117707,5
ARNIQA_SNR,EPFL,Biofilms,mae,3.929975713661739,0.5538536063769807,3.242385878838552,4.617565548484926,5
ARNIQA_SNR,EPFL,Biofilms,rmse,4.725803719401833,0.6221131190047388,3.9534720927541738,5.498135346049493,5
ARNIQA_SNR,EPFL,Biofilms,r2,-0.5939981976456858,0.38138808674817787,-1.0674781362997607,-0.120518258991611,5
ARNIQA_SNR,NFFA,EPFL,mae,0.39750332254759024,0.09934402889711519,0.2741711935634133,0.5208354515317671,5
ARNIQA_SNR,NFFA,EPFL,rmse,0.4412950623888703,0.08676798185521122,0.3335756549049406,0.5490144698727999,5
ARNIQA_SNR,NFFA,EPFL,r2,0.4068576430117288,0.2455141335900099,0.10206045361325422,0.7116548324102033,5
ARNIQA_SNR,NFFA,NFFA,mae,0.5224351753472046,0.1275897927491942,0.36403692080585925,0.68083342988855,5
ARNIQA_SNR,NFFA,NFFA,rmse,0.7349635825270857,0.1373107906453552,0.564497049905073,0.9054301151490984,5
ARNIQA_SNR,NFFA,NFFA,r2,0.9536048763032957,0.017496515529380977,0.9318835656820196,0.9753261869245718,5
ARNIQA_SNR,NFFA,Biofilms,mae,1.8786766086305893,0.17083780370743917,1.6665874647119332,2.0907657525492453,5
ARNIQA_SNR,NFFA,Biofilms,rmse,2.438224612025457,0.339154589435176,2.0171760796258478,2.859273144425066,5
ARNIQA_SNR,NFFA,Biofilms,r2,0.5750134260393027,0.12513299103393075,0.41966520469471064,0.7303616473838948,5
ARNIQA_SNR,Biofilms,EPFL,mae,0.7725079990440691,0.38284640370241474,0.297217611018286,1.2477983870698521,5
ARNIQA_SNR,Biofilms,EPFL,rmse,0.9375612052683812,0.4681662018044704,0.35634927911649306,1.5187731314202693,5
ARNIQA_SNR,Biofilms,EPFL,r2,-2.1150380011084953,3.277557946594976,-6.184011284255702,1.9539352820387106,5
ARNIQA_SNR,Biofilms,NFFA,mae,1.63732987191393,0.709643768840656,0.7563320122225887,2.5183277316052712,5
ARNIQA_SNR,Biofilms,NFFA,rmse,2.1701121831747665,0.9203895686088162,1.0274808015855126,3.3127435647640207,5
ARNIQA_SNR,Biofilms,NFFA,r2,0.5498747018185937,0.4037486265865824,0.04863493689089349,1.0511144667462937,5
ARNIQA_SNR,Biofilms,Biofilms,mae,1.1638015038626535,0.1339174329319284,0.9975477058744981,1.3300553018508088,5
ARNIQA_SNR,Biofilms,Biofilms,rmse,1.4796194308004607,0.11192533069996798,1.3406680567145446,1.6185708048863767,5
ARNIQA_SNR,Biofilms,Biofilms,r2,0.8451752100329294,0.02348426121226453,0.8160203230700833,0.8743300969957755,5
TOPIQ_NR_SNR,EPFL,EPFL,mae,0.05072676492968635,0.01869251563917498,0.0275206621025398,0.0739328677568329,5
TOPIQ_NR_SNR,EPFL,EPFL,rmse,0.06403849134299222,0.022793420481142572,0.03574125892772334,0.0923357237582611,5
TOPIQ_NR_SNR,EPFL,EPFL,r2,0.9866561756044563,0.00919228162643282,0.9752442802364498,0.9980680709724628,5
TOPIQ_NR_SNR,EPFL,NFFA,mae,2.443070094424826,0.04632941153613461,2.3855537542605556,2.500586434589096,5
