architecture,source_dataset,test_dataset,eval_type,seed,mae,mse,rmse,r2,n_samples,total_params,model_size_mb,avg_inference_ms_sample,framework
ARNIQA_SNR,Biofilms,Biofilms,in-domain,42,1.2040438669068472,2.5941554552686945,1.6106382136496993,0.8173780756263817,140,23512129,89.89471817016602,8.777267592293876,sota_iqa_baselines
ARNIQA_SNR,Biofilms,Biofilms,in-domain,123,1.3723629934447152,2.5070533518259235,1.5833677247645044,0.8235098414445798,140,23512129,89.89471817016602,7.886791229248047,sota_iqa_baselines
ARNIQA_SNR,Biofilms,Biofilms,in-domain,456,1.1432610188211714,1.8453654523847884,1.3584422889415613,0.8700909810926513,140,23512129,89.89471817016602,9.192499092647008,sota_iqa_baselines
ARNIQA_SNR,Biofilms,Biofilms,in-domain,789,1.0581603629248484,1.9599282749763285,1.3999743836857617,0.8620260507197051,140,23512129,89.89471817016602,8.770217214311872,sota_iqa_baselines
ARNIQA_SNR,Biofilms,Biofilms,in-domain,1024,1.0411792772156852,2.08997488416485,1.4456745429607765,0.8528711012813293,140,23512129,89.89471817016602,8.643749782017299,sota_iqa_baselines
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,42,0.8592213066530899,1.0019339172200938,1.000966491557082,-1.960135390861776,2130,23512129,89.89471817016602,8.877201371349638,sota_iqa_baselines
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,123,0.5402810347471998,0.4253070685702514,0.6521557088381972,-0.2565364681450557,2130,23512129,89.89471817016602,8.796466236383143,sota_iqa_baselines
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,456,1.4065682348511028,2.98684009575146,1.728247695138477,-7.824385443313304,2130,23512129,89.89471817016602,8.728463437075906,sota_iqa_baselines
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,789,0.5698619363453467,0.4898320324500114,0.6998800128950757,-0.4471704270238008,2130,23512129,89.89471817016602,8.766030033989132,sota_iqa_baselines
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,1024,0.4866074826236062,0.3679103241777786,0.6065561179130737,-0.0869622761985386,2130,23512129,89.89471817016602,9.148600851426105,sota_iqa_baselines
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,42,1.2515073194404958,2.5328779277763407,1.5915017837804455,0.7883617216709795,1930,23512129,89.89471817016602,8.924119707216253,sota_iqa_baselines
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,123,1.6660129842362874,4.143319462935905,2.0355145450072087,0.6537989501638914,1930,23512129,89.89471817016602,8.393572278591018,sota_iqa_baselines
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,456,2.815853306666557,13.791351910005291,3.713670947998125,-0.1523563540330643,1930,23512129,89.89471817016602,9.134110638514702,sota_iqa_baselines
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,789,1.489736745888705,4.611851397198609,2.147522152900549,0.6146500868009506,1930,23512129,89.89471817016602,9.104258779417048,sota_iqa_baselines
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,1024,0.9635390033376032,1.8560015719172995,1.3623514861875037,0.8449191044902113,1930,23512129,89.89471817016602,8.979770062500949,sota_iqa_baselines
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,42,4.250006340231214,25.926009206326317,5.09175895013956,-0.8251248910204789,140,23512129,89.89471817016602,15.031346252986364,sota_iqa_baselines
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,123,4.053143560886383,23.48669362512044,4.846307215305324,-0.6534032986657805,140,23512129,89.89471817016602,8.907718317849296,sota_iqa_baselines
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,456,2.9609961356435504,13.22611701712579,3.636772885007502,0.0689151119480636,140,23512129,89.89471817016602,13.324100630623954,sota_iqa_baselines
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,789,4.065820917061397,24.013547342443356,4.900361960349802,-0.6904924559579901,140,23512129,89.89471817016602,8.003377914428711,sota_iqa_baselines
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,1024,4.319911614486149,26.561835711896297,5.153817586206976,-0.869885454532243,140,23512129,89.89471817016602,11.004980972834996,sota_iqa_baselines
ARNIQA_SNR,EPFL,EPFL,in-domain,42,0.6200598076475619,0.4612496636314229,0.6791536377222925,-0.3627260539564481,2130,23512129,89.89471817016602,13.801411619768457,sota_iqa_baselines
ARNIQA_SNR,EPFL,EPFL,in-domain,123,0.7514996273416868,0.7255775313671816,0.8518083888804933,-1.1436620644336446,2130,23512129,89.89471817016602,7.868594406915943,sota_iqa_baselines
ARNIQA_SNR,EPFL,EPFL,in-domain,456,0.6184763760633871,0.4699419143291524,0.6855230954017176,-0.3884066287671917,2130,23512129,89.89471817016602,10.93386920964774,sota_iqa_baselines
ARNIQA_SNR,EPFL,EPFL,in-domain,789,0.6808869630518094,0.5835475322452697,0.763902829059606,-0.724045541089138,2130,23512129,89.89471817016602,16.02752085582751,sota_iqa_baselines
ARNIQA_SNR,EPFL,EPFL,in-domain,1024,0.7513233990736411,0.7574338163460445,0.8703067369301725,-1.237778966722916,2130,23512129,89.89471817016602,8.067334985509165,sota_iqa_baselines
ARNIQA_SNR,EPFL,NFFA,cross-dataset,42,2.503520287997982,10.59571581797148,3.2551061147021736,0.1146596411980471,1930,23512129,89.89471817016602,15.007085503691837,sota_iqa_baselines
ARNIQA_SNR,EPFL,NFFA,cross-dataset,123,2.374949690838552,9.415573957203684,3.068480724593799,0.2132681011075912,1930,23512129,89.89471817016602,8.176512668787506,sota_iqa_baselines
ARNIQA_SNR,EPFL,NFFA,cross-dataset,456,1.9899641450822665,6.762964651412154,2.6005700627770354,0.4349107078834004,1930,23512129,89.89471817016602,13.123586634897816,sota_iqa_baselines
ARNIQA_SNR,EPFL,NFFA,cross-dataset,789,2.304045774899616,9.21378019198634,3.0354209250096336,0.23012927099651,1930,23512129,89.89471817016602,9.957570733184024,sota_iqa_baselines
ARNIQA_SNR,EPFL,NFFA,cross-dataset,1024,2.5417093972468003,10.831564606435771,3.2911342431501898,0.0949529545910108,1930,23512129,89.89471817016602,9.286561654639367,sota_iqa_baselines
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,42,1.7836043170520235,5.092521799909266,2.2566616494080955,0.641499460209602,140,23512129,89.89471817016602,10.041897637503489,sota_iqa_baselines
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,123,1.9770868182182315,5.8665880217733095,2.422104048502729,0.5870071734261231,140,23512129,89.89471817016602,10.179202897208077,sota_iqa_baselines
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,456,1.8544608780315943,5.467587860429522,2.338287377639781,0.6150957666297403,140,23512129,89.89471817016602,10.01581975391933,sota_iqa_baselines
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,789,1.668644918714251,4.645788315891654,2.155409083188538,0.6729483575251938,140,23512129,89.89471817016602,10.038701125553676,sota_iqa_baselines
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,1024,2.109586111136845,9.112313637569477,3.018660901388143,0.3585163724058546,140,23512129,89.89471817016602,9.8245450428554,sota_iqa_baselines
ARNIQA_SNR,NFFA,EPFL,cross-dataset,42,0.3056324452861374,0.1347731110352487,0.3671145748063521,0.601823384900596,2130,23512129,89.89471817016602,10.617772178470808,sota_iqa_baselines
ARNIQA_SNR,NFFA,EPFL,cross-dataset,123,0.382322878233144,0.1776381548998601,0.421471416468377,0.4751819655477808,2130,23512129,89.89471817016602,10.283091706289373,sota_iqa_baselines
ARNIQA_SNR,NFFA,EPFL,cross-dataset,456,0.41144983578176,0.2075224168542754,0.4555462839869023,0.3868912510398931,2130,23512129,89.89471817016602,10.290051290127034,sota_iqa_baselines
ARNIQA_SNR,NFFA,EPFL,cross-dataset,789,0.5586800749872772,0.340168035705497,0.5832392611145935,-0.0049998548063721,2130,23512129,89.89471817016602,10.28571263165541,sota_iqa_baselines
ARNIQA_SNR,NFFA,EPFL,cross-dataset,1024,0.3294313784496325,0.1437196726500084,0.3791037755681264,0.5753914683767458,2130,23512129,89.89471817016602,10.389746074945156,sota_iqa_baselines
ARNIQA_SNR,NFFA,NFFA,in-domain,42,0.692895789344076,0.872229633453197,0.9339323495056786,0.9271195915495034,1930,23512129,89.89471817016602,10.427475469717708,sota_iqa_baselines
ARNIQA_SNR,NFFA,NFFA,in-domain,123,0.5807575333303738,0.6270262673552802,0.7918499020365414,0.947607913419402,1930,23512129,89.89471817016602,10.212218082012908,sota_iqa_baselines
ARNIQA_SNR,NFFA,NFFA,in-domain,456,0.3988395059664632,0.3700751991500454,0.6083380632099601,0.9690778315285232,1930,23512129,89.89471817016602,10.36905291166948,sota_iqa_baselines
ARNIQA_SNR,NFFA,NFFA,in-domain,789,0.3928667597202439,0.367582040649098,0.6062854448600082,0.9692861509927008,1930,23512129,89.89471817016602,9.942766298284186,sota_iqa_baselines
ARNIQA_SNR,NFFA,NFFA,in-domain,1024,0.5468162883748662,0.5393612105082312,0.7344121530232401,0.9549328940263488,1930,23512129,89.89471817016602,9.7191862491746,sota_iqa_baselines
CNN_KAN,Biofilms,Biofilms,in-domain,42,0.1797285676002502,0.158130332827568,0.3976560483980698,0.988867998123169,140,69975,0.2669334411621094,4.003390244075231,proposed_pipelines
CNN_KAN,Biofilms,Biofilms,in-domain,123,0.2432861030101776,0.246202141046524,0.4961876067038797,0.9826679825782776,140,69975,0.2669334411621094,3.352679525102888,proposed_pipelines
CNN_KAN,Biofilms,Biofilms,in-domain,456,0.1408403515815735,0.0433740392327308,0.2082643494041427,0.9969465732574464,140,69975,0.2669334411621094,3.753227846963065,proposed_pipelines
CNN_KAN,Biofilms,Biofilms,in-domain,789,0.1789570152759552,0.1156971231102943,0.3401427981161652,0.9918552041053772,140,69975,0.2669334411621094,3.377577236720494,proposed_pipelines
CNN_KAN,Biofilms,Biofilms,in-domain,1024,0.1784003525972366,0.1358320266008377,0.3685539670127534,0.9904377460479736,140,69975,0.2669334411621094,3.916221005575997,proposed_pipelines
CNN_KAN,Biofilms,EPFL,cross-dataset,42,2.534773826599121,6.812074661254883,2.6099951458297546,-19.125741958618164,2130,69975,0.2669334411621094,5.741931127270623,proposed_pipelines
CNN_KAN,Biofilms,EPFL,cross-dataset,123,1.1800544261932373,1.4963047504425049,1.223235361834551,-3.42071533203125,2130,69975,0.2669334411621094,5.694490643174436,proposed_pipelines
CNN_KAN,Biofilms,EPFL,cross-dataset,456,1.494438886642456,2.309713363647461,1.5197741159946965,-5.823867321014404,2130,69975,0.2669334411621094,5.670707326539805,proposed_pipelines
